Codes,Number of coding references,Aggregate number of coding references,Number of items coded,Aggregate number of items coded
Codes\\transcripts\\fishing\fishing pole,1,1,1,1
Codes\\transcripts\\fishing\fishing pollock,1,1,1,1
Codes\\transcripts\\fishing\fishing salmon,5,5,1,1
Codes\\transcripts\\fishing\fishing village levelock,1,1,1,1
Codes\\transcripts\\fishing\fishing weather,1,1,1,1
Codes\\transcripts\\fishing\freezer fish,1,1,1,1
Codes\\transcripts\\fishing\fresh fish,1,1,1,1
Codes\\transcripts\\fishing\frozen fish,2,2,1,1
Codes\\transcripts\\fishing\good fish,1,1,1,1
Codes\\transcripts\\fishing\good quality fish,1,1,1,1
Codes\\transcripts\\fishing\grandsons fishing,2,2,1,1
Codes\\transcripts\\fishing\guy fishing,1,1,1,1
Codes\\transcripts\\fishing\hatchery fish,1,1,1,1
Codes\\transcripts\\fishing\historical fishing women,1,1,1,1
Codes\\transcripts\\fishing\history fishing,1,1,1,1
Codes\\transcripts\\fishing\hours fishing,1,1,1,1
Codes\\transcripts\\fishing\iced fish,1,1,1,1
Codes\\transcripts\\fishing\inch fish,1,1,1,1
Codes\\transcripts\\fishing\individual fish,1,1,1,1
Codes\\transcripts\\fishing\kids fishing,2,2,1,1
Codes\\transcripts\\fishing\kind – fish,1,1,1,1
Codes\\transcripts\\fishing\man fishing,1,1,1,1
Codes\\transcripts\\fishing\much fish,3,3,1,1
Codes\\transcripts\\fishing\n’t fish,1,1,1,1
Codes\\transcripts\\fishing\net fish,8,8,1,1
Codes\\transcripts\\fishing\n't fish,2,2,1,1
Codes\\transcripts\\fishing\people king crab fishing,4,4,1,1
Codes\\transcripts\\fishing\picking fish,2,2,1,1
Codes\\transcripts\\fishing\pot fishing cod,1,1,1,1
Codes\\transcripts\\fishing\quit fishing,2,2,1,1
Codes\\transcripts\\fishing\really fished,1,1,1,1
Codes\\transcripts\\fishing\red fish,2,2,1,1
Codes\\transcripts\\fishing\role fishing,1,1,1,1
Codes\\transcripts\\fishing\salt fish,5,5,1,1
Codes\\transcripts\\fishing\small fish processing people,1,1,1,1
Codes\\transcripts\\fishing\smoke fish,3,3,1,1
Codes\\transcripts\\fishing\split fish,1,1,1,1
Codes\\transcripts\\fishing\sport fishing,4,4,1,1
Codes\\transcripts\\fishing\started fishing,4,4,1,1
Codes\\transcripts\\fishing\stuffing fish,1,1,1,1
Codes\\transcripts\\fishing\sub fish,2,2,1,1
Codes\\transcripts\\fishing\subsistence fish,8,8,1,1
Codes\\transcripts\\fishing\trailer fishing business,2,2,1,1
Codes\\transcripts\\fishing\tuna fishing,4,4,1,1
Codes\\transcripts\\fishing\went fishing,2,2,1,1
Codes\\transcripts\\fishing\white fish,1,1,1,1
Codes\\transcripts\\fishing\whole family fishes,2,2,1,1
Codes\\transcripts\\fishing\whole fishing season,2,2,1,1
Codes\\transcripts\\fishing\whole fishing world,1,1,1,1
Codes\\transcripts\\fishing\word fish,1,1,1,1
Codes\\transcripts\\net\commercial net,2,2,1,1
Codes\\transcripts\\net\dragging net,3,3,1,1
Codes\\transcripts\\net\fathom net,2,2,1,1
Codes\\transcripts\\net\inside net,2,2,1,1
Codes\\transcripts\\net\mid water net,2,2,1,1
Codes\\transcripts\\net\mid-water net,1,1,1,1
Codes\\transcripts\\net\net drifts,1,1,1,1
Codes\\transcripts\\net\net fish,8,8,1,1
Codes\\transcripts\\net\net fisheries,1,1,1,1
Codes\\transcripts\\net\net operation,2,2,1,1
Codes\\transcripts\\net\net permit,1,1,1,1
Codes\\transcripts\\net\net rolls,1,1,1,1
Codes\\transcripts\\net\net sites,2,2,1,1
Codes\\transcripts\\net\net stakes,1,1,1,1
Codes\\transcripts\\net\netting industry,1,1,1,1
Codes\\transcripts\\net\outside net,2,2,1,1
Codes\\transcripts\\net\red net,3,3,1,1
Codes\\transcripts\\net\set net skiffs,3,3,1,1
Codes\\transcripts\\net\set netting,9,9,1,1
Codes\\transcripts\\net\size net,1,1,1,1
Codes\\transcripts\\net\sub nets,1,1,1,1
Codes\\transcripts\\net\subsistence net,3,3,1,1
Codes\\transcripts\\net\using nets,1,1,1,1
Codes\\transcripts\\salmon\combination dragger salmon fishing boat,3,3,1,1
Codes\\transcripts\\salmon\commercial king salmon fishery,2,2,1,1
Codes\\transcripts\\salmon\declining king salmon,1,1,1,1
Codes\\transcripts\\salmon\dog salmon,1,1,1,1
Codes\\transcripts\\salmon\extra baby salmon,1,1,1,1
Codes\\transcripts\\salmon\extra salmon,1,1,1,1
Codes\\transcripts\\salmon\fishing salmon,5,5,1,1
Codes\\transcripts\\salmon\king salmon,3,3,1,1
Codes\\transcripts\\salmon\king salmon head,2,2,1,1
Codes\\transcripts\\salmon\main salmon,1,1,1,1
Codes\\transcripts\\salmon\market packing salmon,1,1,1,1
Codes\\transcripts\\salmon\massive salmon,1,1,1,1
Codes\\transcripts\\salmon\picking salmon,3,3,1,1
Codes\\transcripts\\salmon\pink salmon,1,1,1,1
Codes\\transcripts\\salmon\plain salmon,1,1,1,1
Codes\\transcripts\\salmon\quality salmon,1,1,1,1
Codes\\transcripts\\salmon\red salmon,4,4,1,1
Codes\\transcripts\\salmon\red salmon run,1,1,1,1
Codes\\transcripts\\salmon\salmon eggs,3,3,1,1
Codes\\transcripts\\salmon\salmon fisher,1,1,1,1
Codes\\transcripts\\salmon\salmon packers,1,1,1,1
Codes\\transcripts\\salmon\salmon populations,2,2,1,1
Codes\\transcripts\\salmon\salmon runs,1,1,1,1
Codes\\transcripts\\salmon\salmon season,4,4,1,1
Codes\\transcripts\\salmon\salmon tours,1,1,1,1
Codes\\transcripts\\salmon\salted salmon,1,1,1,1
Codes\\transcripts\\salmon\seeing salmon runs,2,2,1,1
Codes\\transcripts\\salmon\silver salmon,2,2,1,1
Codes\\transcripts\\salmon\smoked salmon,2,2,1,1
Codes\\transcripts\\salmon\specifically king salmon,1,1,1,1
Codes\\transcripts\\salmon\spectacular salmon fishery,1,1,1,1
Codes\\transcripts\\salmon\strong salmon rounds,1,1,1,1
