"cat","var00","freq","n_interviews","freq_rel","var001"
"Moderately negative","Indigenous",213,12,17.75,"Indigenous
(12)"
"Moderately negative","Non-indigenous",299,12,24.9166666666667,"Non-indigenous
(12)"
"Moderately positive","Indigenous",341,12,28.4166666666667,"Indigenous
(12)"
"Moderately positive","Non-indigenous",412,12,34.3333333333333,"Non-indigenous
(12)"
"Very negative","Indigenous",152,12,12.6666666666667,"Indigenous
(12)"
"Very negative","Non-indigenous",220,12,18.3333333333333,"Non-indigenous
(12)"
"Very positive","Indigenous",117,12,9.75,"Indigenous
(12)"
"Very positive","Non-indigenous",156,12,13,"Non-indigenous
(12)"
